inscription_id,sign_sequence,site,object_type,line_count,damaged,reading_direction,motif
M-1A,P121 P202 P385 P073 P108,Mohenjo-daro,seal,1,False,L-R,unicorn_I
M-3A,P320 P145 P094,Mohenjo-daro,seal,1,False,L-R,unicorn_I
M-4A,P205 P186 P147 P316 P056 P122 P237 P268 P268 P147,Mohenjo-daro,seal,1,True,L-R,unicorn_I
M-5A,P324 P096 P062 P060 P120 P256,Mohenjo-daro,seal,1,True,L-R,unicorn_I
M-6A,P378 P384 P201 P065,Mohenjo-daro,seal,1,False,L-R,unicorn_I
M-7A,P086 P352 P011 P324 P154 P009 P154 P175 P062 P122 P385,Mohenjo-daro,seal,1,False,L-R,unicorn_I
M-8A,P316 P011 P270,Mohenjo-daro,seal,1,False,L-R,unicorn_I
M-9A,P144 P205 P327,Mohenjo-daro,seal,1,False,L-R,unicorn_I
M-10A,P086 P204 P114 P151 P316 P060 P364 P122 P067 P221,Mohenjo-daro,seal,1,True,L-R,unicorn_I
M-12A,P324 P086 P276 P058 P122 P202 P386 P182 P108,Mohenjo-daro,seal,1,True,L-R,unicorn_II
M-13A,P202 P205 P035,Mohenjo-daro,seal,1,False,L-R,unicorn_II
M-14A,P324 P117 P210 P122 P385,Mohenjo-daro,seal,1,True,L-R,unicorn_II
M-15A,P013 P324 P194 P122 P385,Mohenjo-daro,seal,1,True,L-R,unicorn_II
M-16A,P378 P026 P151 P346,Mohenjo-daro,seal,1,False,L-R,unicorn_II
M-17A,P086 P126 P122 P369 P232,Mohenjo-daro,seal,1,True,L-R,unicorn_II
M-18A,P341 P324 P142,Mohenjo-daro,seal,1,False,L-R,unicorn_II
M-19A,P000 P122 P385,Mohenjo-daro,seal,1,True,L-R,unicorn_II
M-20A,P086 P125 P122 P385 P147 P147 P215 P275,Mohenjo-daro,seal,1,True,L-R,unicorn_II
M-21A,P091 P121 P324 P272 P256 P145 P122 P385,Mohenjo-daro,seal,1,False,L-R,unicorn_II
M-22A,P324 P172 P194 P050 P145 P230 P000,Mohenjo-daro,seal,1,True,L-R,unicorn_II
