inscription_id,sign_sequence,site,object_type,line_count,damaged,reading_direction,motif,mean_uncertainty
M-1A,P121_1 P202 P385_1 P073 P108,Mohenjo-daro,seal,1,False,L-R,unicorn_I,0.0
M-3A,P320 P145 P094,Mohenjo-daro,seal,1,False,L-R,unicorn_I,0.0
M-4A,P205 P186 P147 P316_1-1-1-0 P056_1 P122_0 P237 P268 P268 P147,Mohenjo-daro,seal,1,True,L-R,unicorn_I,2.0
M-5A,P324 P096 P062_2-0 P060 P120 P256_1,Mohenjo-daro,seal,1,True,L-R,unicorn_I,15.0
M-6A,P378_0 P384 P201 P065,Mohenjo-daro,seal,1,False,L-R,unicorn_I,0.0
M-7A,P086 P352 P011_0 P324_0-0-1-1-0 P154_0 P009_1 P154_0 P175 P062_2-0 P122_0 P385_1,Mohenjo-daro,seal,1,False,L-R,unicorn_I,0.0
M-8A,P316 P011_0 P270_3-0,Mohenjo-daro,seal,1,False,L-R,unicorn_I,0.0
M-9A,P144 P205 P327,Mohenjo-daro,seal,1,False,L-R,unicorn_I,0.0
M-10A,P086_2-3-2-0 P204_0-1 P114 P151 P316 P060 P364 P122_0 P067 P221_0,Mohenjo-daro,seal,1,True,L-R,unicorn_I,3.0
M-12A,P324_0-0-1-1-0 P086_3-1-0-0 P276 P058_1 P122_0 P202_1-2 P386 P182 P108,Mohenjo-daro,seal,1,True,L-R,unicorn_II,3.33
M-13A,P202 P205 P035,Mohenjo-daro,seal,1,False,L-R,unicorn_II,0.0
M-14A,P324_1-0-0-1-0 P117 P210 P122_0 P385_0,Mohenjo-daro,seal,1,True,L-R,unicorn_II,2.0
M-15A,P013 P324_1-0-2-1-0 P194_4-0-0 P122_0 P385_1,Mohenjo-daro,seal,1,True,L-R,unicorn_II,2.0
M-16A,P378_0 P026 P151 P346,Mohenjo-daro,seal,1,False,L-R,unicorn_II,0.0
M-17A,P086_3-1-0-0 P126_0-0 P122_0 P369 P232,Mohenjo-daro,seal,1,True,L-R,unicorn_II,2.0
M-18A,P341 P324_1-0-0-1-0 P142,Mohenjo-daro,seal,1,False,L-R,unicorn_II,0.0
M-19A,P000 P122_0 P385_1,Mohenjo-daro,seal,1,True,L-R,unicorn_II,13.33
M-20A,P086_3-1-0-0 P125 P122_0 P385_1 P147 P147 P215 P275,Mohenjo-daro,seal,1,True,L-R,unicorn_II,6.25
M-21A,P091_3-0-0 P121_1 P324_1-0-0-1-0 P272 P256_0 P145 P122_0 P385_1,Mohenjo-daro,seal,1,False,L-R,unicorn_II,0.0
M-22A,P324_1-0-2-1-0 P172 P194_4-0-0 P050 P145 P230_0-0-0-1 P000,Mohenjo-daro,seal,1,True,L-R,unicorn_II,5.71
M-23A,P324_1-0-0-1-0 P197 P120_0-1 P256_0 P217_0 P050 P060 P121_1 P160 P350 P390 P076 P202,Mohenjo-daro,seal,2,True,L-R,unicorn_II,5.38
M-24A,P013 P324_1-0-1-1-0 P062_1-0 P060 P122_0 P174 P011_0,Mohenjo-daro,seal,1,True,L-R,unicorn_II,10.0
M-25A,P268 P268 P050 P316 P276,Mohenjo-daro,seal,1,True,L-R,unicorn_II,12.0
M-26A,P013 P324_1-0-2-1-0 P228 P120_0-1 P256_1,Mohenjo-daro,seal,1,False,L-R,unicorn_II,0.0
M-27A,P238 P060 P364_3-0 P325_1-0-0-1-0 P311 P154_0 P123,Mohenjo-daro,seal,1,True,L-R,unicorn_II,7.14
M-28A,P000_10 P103 P324_1-0-0-1-0 P332 P349 P095_5 P122_0 P385_1,Mohenjo-daro,seal,1,False,L-R,unicorn_II,0.0
M-29A,P324_0-0-1-1-0 P142 P062_1-0 P060 P364_3-1 P122_0 P050 P221_0 P210,Mohenjo-daro,seal,1,True,L-R,unicorn_II,2.22
