inscription_id,sign_sequence,site,object_type,line_count,damaged,reading_direction,motif,cisi_number
S1,G410 G17,Alamgirpur,unknown,1,False,R-L,unknown,Agr-1
S2,G410 G17,Alamgirpur,unknown,1,False,R-L,unknown,Agr-2
S3,G405 G17,Alamgirpur,unknown,1,False,R-L,unknown,Agr-3
S5,G740 G235,Allahdino,unknown,1,False,L-R,Bull,unknown
S6,G740 G390 G590,Allahdino,unknown,1,False,L-R,Bull1,Ad-1
S7,G368 G390 G125 G33,Allahdino,unknown,1,False,L-R,Bull1:J,Ad-2
S8,G740 G904 G33 G705 G235,Allahdino,unknown,1,False,L-R,Bull1:II,Ad-3
S9,G740 G17 G495 G235 G741 G66,Allahdino,unknown,1,False,L-R,Bull1:II,Ad-4
S10,G156 G460 G510,Allahdino,unknown,1,False,L-R,Bull1,Ad-5
S11,G72 G170 G740 G840 G13,Allahdino,unknown,1,False,L-R,Rhin,Ad-6
S16,G390 G415,Altyn Depe,unknown,1,False,R-L,unknown,unknown
S17,G390 G34,Amri,unknown,1,False,R-L,unknown,Ai-7
S18,G405 G844 G32 G840 G2 G861,Bakkar Buthi,unknown,1,False,L-R,unknown,unknown
S19,G226 G3 G2 G297 G350 G125 G413,Bala-kot,unknown,1,False,L-R,Bull1,Blk-1
S20,G390 G717 G61 G2 G368 G634,Bala-kot,unknown,1,False,L-R,Bull1,Blk-2
S22,G527 G554 G298 G368 G634,Bala-kot,unknown,1,False,L-R,Bull1:II,Blk-4
S26,G520 G1,Banawali,unknown,1,False,L-R,Goat:1,unknown
S27,G90 G740 G220 G2 G368 G550 G821,Banawali,unknown,1,False,L-R,Bull1:O,B-1
S28,G220 G14,Banawali,unknown,1,False,L-R,Bull1,B-3
S29,G740 G797,Banawali,unknown,1,False,L-R,Bull3,B-4
S30,G2 G817,Banawali,unknown,1,False,L-R,Bull3,B-5
S31,G2 G817,Banawali,unknown,1,False,L-R,Buff,B-7
S32,G740 G61,Banawali,unknown,1,False,L-R,Goat:4,B-8
